name,year,county,time,pop,seed,sheep,lynx,lynx1,wolf,wolf1,popst,red,north,east,north2,east2
Stock,67,10,40,38.6,12611,6901,0.589,0.147,0,0,"261,819",86.8,519,453,2694,2052
Orebro,67,11,40,17.4,9535,5546,0.321,0,0.107,0,"162,717",74.7,499,254,2490,645
Soderml,67,12,40,20.3,13185,10311,0,0,0,0,"133,900",56.6,463,361,2144,1303
Skara,67,13,40,28.8,31797,9754,0,0,0,0,"236,775",128,382,170,1459,289
Alvsb,67,14,40,22.5,16099,8557,0.081,0,0.484,0.081,"279,153",90.7,352,101,1239,102
Goteborg,67,15,40,43.6,23233,10182,0,0,0,0,"232,181",55.6,381,44,1452,19
Ostergl,67,16,40,21.7,15369,7474,0,0.343,0,0,"253,148",68.5,375,302,1406,912
Kalmar,67,17,40,19.9,10513,9359,0,0,0.171,0,"233,165",136.1,237,323,562,1043
Jonk,67,18,40,17.2,12874,9860,0,0.093,0,0,"183,851",108.7,269,217,724,471
Halland,67,19,40,22,21010,9340,0,0.175,1.049,0.175,"126,060",93,208,107,433,114
Kronob,67,20,40,17.2,8459,7935,0,0,0,0,"162,553",73.2,184,224,339,502
Kristian,67,21,40,35.2,25266,13295,0,0,0,0,"222,235",286.1,103,170,106,289
Blek,67,22,40,41.1,14828,8504,0,0,0,0,"125,436",163.3,120,263,144,692
Malmo,67,23,40,60.4,57431,23585,0,0,0,0,"305,261",72.9,58,136,34,185
Norrb,68,1,41,0.7,193,535,0,0,0.085,0.208,"76,057",6.6,1439,513,20707,2632
Vasterb,68,2,41,1.5,427,847,0,0.084,0.118,0.186,"91,759",7.8,1179,415,13900,1722
Jamt,68,3,41,1.3,342,1988,0.481,0.277,0.148,0.314,"70,463",7.1,976,222,9526,493
Vastern,68,4,41,5.8,1503,2923,0.389,0.606,0.216,0.087,"134,598",17.3,962,387,9254,1498
Gavle,68,5,41,7.5,2496,3621,1.063,1.063,0.101,0.253,"147,416",21,756,336,5715,1129
Koppar,68,6,41,5.8,3429,3371,0.724,0.855,0.033,0.197,"175,523",13.8,696,221,4844,488
Varm,68,7,41,13.4,8209,4050,0.825,1.032,0.206,0.155,"260,392",60.1,564,140,3181,196
Upps,68,8,41,14,10967,5030,0.139,0.139,0.416,0.833,"100,519",53.7,588,422,3457,1781
Vastml,68,9,41,17.2,12090,4173,0.907,0.302,0,0.302,"114,033",65.8,557,337,3102,1136
Stock,68,10,41,39.4,12917,5943,0,0.589,0,0,"267,260",107.2,519,453,2694,2052
Orebro,68,11,41,18,9439,4746,0.642,0.321,0,0.107,"167,796",54.1,499,254,2490,645
Soderml,68,12,41,20.6,13258,9444,0,0,0,0,"136,114",56.5,463,361,2144,1303
Skara,68,13,41,29.6,31975,8130,0,0,0,0,"243,561",114.6,382,170,1459,289
Alvsb,68,14,41,22.5,16125,7675,0.161,0.081,0,0.484,"279,233",81.7,352,101,1239,102
Goteborg,68,15,41,43.7,22600,7829,0.188,0,0,0,"232,389",48.7,381,44,1452,19
Ostergl,68,16,41,21.8,15395,6136,0,0,0,0,"254,265",63.3,375,302,1406,912
Kalmar,68,17,41,19.9,10707,8262,0,0,0,0.171,"233,110",126.5,237,323,562,1043
Jonk,68,18,41,16.8,12962,7133,0,0,0,0,"179,873",87.3,269,217,724,471
Halland,68,19,41,22.2,20965,7609,0,0,0,1.049,"127,221",75,208,107,433,114
Kronob,68,20,41,16.8,8599,5770,0,0,0,0,"158,879",52.3,184,224,339,502
Kristian,68,21,41,35.1,25473,12000,0,0,0,0,"221,957",144.7,103,170,106,289
Blek,68,22,41,41.3,14632,7796,0,0,0,0,"126,037",133.2,120,263,144,692
Malmo,68,23,41,62.6,56639,20790,0,0,0,0,"316,042",63.8,58,136,34,185
Norrb,69,1,42,0.7,233,494,0.009,0,0.085,0.085,"76,057",6.3,1439,513,20707,2632
Vasterb,69,2,42,1.5,450,977,0.034,0,0.051,0.118,"91,759",7.5,1179,415,13900,1722
Jamt,69,3,42,1.3,344,1988,0.351,0.481,0,0.148,"70,463",8.2,976,222,9526,493
Vastern,69,4,42,5.8,1544,2985,0.563,0.389,0.087,0.216,"134,598",16.5,962,387,9254,1498
Gavle,69,5,42,7.5,2507,3645,0.607,1.063,0,0.101,"147,416",15.3,756,336,5715,1129
Varm,69,7,42,13.4,8133,4551,0.619,0.825,0.103,0.206,"260,392",35.6,564,140,3181,196
Upps,69,8,42,14,11064,5707,0.416,0.139,0.416,0.416,"100,519",56.2,588,422,3457,1781
Vastml,69,9,42,17.2,11996,4660,1.058,0.907,0.302,0,"114,033",34,557,337,3102,1136
Stock,69,10,42,39.4,12674,6884,0,0,0.295,0,"267,260",72.3,519,453,2694,2052
Orebro,69,11,42,18,10261,5308,0.749,0.642,0,0,"167,796",47,499,254,2490,645
Soderml,69,12,42,20.6,13658,9833,0,0,0,0,"136,114",43.6,463,361,2144,1303
Skara,69,13,42,29.6,32735,9019,0,0,0,0,"243,561",89.2,382,170,1459,289
Alvsb,69,14,42,22.5,16447,7579,0.404,0.161,0.161,0,"279,233",63.4,352,101,1239,102
Goteborg,69,15,42,43.7,23085,8697,0.188,0.188,0,0,"232,389",38.7,381,44,1452,19
Ostergl,69,16,42,21.8,15888,6858,0,0,0,0,"254,265",45.5,375,302,1406,912
Kalmar,69,17,42,19.9,10933,8661,0,0,0,0,"233,110",82.9,237,323,562,1043
Jonk,69,18,42,16.8,12962,9860,0,0,0,0,"179,873",70.3,269,217,724,471
Halland,69,19,42,22.2,20608,8425,0,0,0,0,"127,221",48.6,208,107,433,114
Kronob,69,20,42,16.8,8636,6779,0,0,0,0,"158,879",47.4,184,224,339,502
Kristian,69,21,42,35.1,26399,13983,0,0,0,0,"221,957",84.9,103,170,106,289
Blek,69,22,42,41.3,14891,7537,0,0,0,0,"126,037",67.7,120,263,144,692
Malmo,69,23,42,62.6,56942,22999,0,0,0,0,"316,042",52.5,58,136,34,185
Vasterb,76,2,49,1.7,542,1027,0.067,0,0.084,0.236,"98,043",9.6,1179,415,13900,1722
Jamt,76,3,49,1.4,368,2058,0.333,0.148,0.407,0.37,"75,756",5.6,976,222,9526,493
Vastern,76,4,49,6.5,1685,3298,0.822,0.346,0,0,"150,234",18.2,962,387,9254,1498
Gavle,76,5,49,8.3,2767,3757,0.658,1.164,0,0,"163,197",13.5,756,336,5715,1129
Upps,76,8,49,14.5,13155,5530,0.278,0.139,0,0,"104,371",59,588,422,3457,1781
Stock,76,10,49,42.6,13419,6077,0,0.589,0,0,"289,164",45.8,519,453,2694,2052
Orebro,76,11,49,19.2,11380,4631,0.428,0.856,0,0,"178,951",39.7,499,254,2490,645
Soderml,76,12,49,21.3,14070,8635,0,0,0,0,"140,922",83.2,463,361,2144,1303
Alvsb,76,14,49,23.1,20534,7966,0.323,0.323,0,0,"285,810",68.4,352,101,1239,102
Goteborg,76,15,49,45.9,23099,8232,0.376,0.188,0,0,"244,010",83.1,381,44,1452,19
Kalmar,76,17,49,20.5,12045,9473,0,0,0,0,"239,847",101.8,237,323,562,1043
Halland,76,19,49,23,23280,9895,0,0,0,0,"131,710",64.9,208,107,433,114
Kronob,76,20,49,17.6,11570,8813,0,0,0,0,"165,531",35.5,184,224,339,502
Kristian,76,21,49,36.3,27463,14200,0,0,0,0,"229,176",85.6,103,170,106,289
Blek,76,22,49,43.1,20170,14197,0,0,0,0,"131,812",63.5,120,263,144,692
Malmo,76,23,49,66.1,60495,18787,0,0,0,0,"333,924",101,58,136,34,185
Norrb,77,1,50,0.8,287,385,0.028,0.028,0.038,0.189,"83,356",3,1439,513,20707,2632
Vasterb,77,2,50,1.7,561,963,0.034,0.067,0.017,0.084,"98,043",8.6,1179,415,13900,1722
Jamt,77,3,50,1.4,363,2052,0.111,0.333,0.166,0.407,"75,756",6.7,976,222,9526,493
Vastern,77,4,50,6.5,1673,3255,0.433,0.822,0,0,"150,234",19.7,962,387,9254,1498
Gavle,77,5,50,8.3,2779,3751,0.405,0.658,0,0,"163,197",16,756,336,5715,1129
Koppar,77,6,50,6.1,3502,3512,0.526,0.559,0,0,"186,612",19.6,696,221,4844,488
Varm,77,7,50,13.8,8534,4846,0.877,0.98,0.052,0.057,"267,081",20,564,140,3181,196
Upps,77,8,50,14.5,13274,5530,0,0.278,0.278,0,"104,371",73.7,588,422,3457,1781
Vastml,77,9,50,18.6,15336,4715,0,0.151,0,0,"123,057",40.2,557,337,3102,1136
Stock,77,10,50,42.6,13881,5897,0,0,0,0,"289,164",31.8,519,453,2694,2052
Orebro,77,11,50,19.2,11768,4232,0,0.428,0,0,"178,951",29,499,254,2490,645
Soderml,77,12,50,21.3,16252,8098,0,0,0,0,"140,922",71.4,463,361,2144,1303
Skara,77,13,50,30.7,35872,8233,0,0.122,0,0,"252,724",111.9,382,170,1459,289
Alvsb,77,14,50,23.1,20476,7562,0.081,0.323,0,0,"285,810",85.2,352,101,1239,102
Goteborg,77,15,50,45.9,23461,7241,0.752,0.376,0,0,"244,010",93.8,381,44,1452,19
Kalmar,77,17,50,20.5,12553,9269,0,0,0,0,"239,847",75,237,323,562,1043
Halland,77,19,50,23,23477,9559,0,0,0,0,"131,710",53,208,107,433,114
Kronob,77,20,50,17.6,12140,8926,0,0,0,0,"165,531",23.9,184,224,339,502
Kristian,77,21,50,36.3,28070,14432,0,0,0,0,"229,176",85.2,103,170,106,289
Blek,77,22,50,43.1,21329,13999,0,0,0,0,"131,812",34,120,263,144,692
Malmo,77,23,50,66.1,62064,17608,0,0,0,0,"333,924",94.4,58,136,34,185
Norrb,78,1,51,0.9,281,377,0.047,0.028,0.189,0.038,"90,761",3,1439,513,20707,2632
Vasterb,78,2,51,1.8,578,950,0.118,0.034,0.067,0.017,"106,435",7.2,1179,415,13900,1722
Jamt,78,3,51,1.5,373,2051,0.222,0.111,0.24,0.166,"83,623",6.5,976,222,9526,493
Vastern,78,4,51,7.3,1710,3462,0.606,0.433,0.043,0,"169,195",21.1,962,387,9254,1498
Gavle,78,5,51,9,2764,3782,0.354,0.405,0,0,"178,728",16.8,756,336,5715,1129
Koppar,78,6,51,6.3,3434,3556,0.23,0.526,0.033,0,"190,133",19.3,696,221,4844,488
Varm,78,7,51,13.8,8552,4706,0.619,0.877,0,0.052,"268,417",80.4,564,140,3181,196
Upps,78,8,51,15.4,13333,5556,0.555,0,0,0.278,"111,019",73,588,422,3457,1781
Vastml,78,9,51,19.4,16122,4556,0,0,0,0,"128,491",37.3,557,337,3102,1136
Stock,78,10,51,46.5,15222,6058,0,0,0,0,"315,796",50.7,519,453,2694,2052
Orebro,78,11,51,19.5,12151,4165,0,0,0,0,"182,263",29.8,499,254,2490,645
Soderml,78,12,51,22.3,16642,7940,0,0,0,0,"147,186",82.8,463,361,2144,1303
Skara,78,13,51,31.4,36118,8380,0,0,0,0,"257,942",109.1,382,170,1459,289
Alvsb,78,14,51,23.3,20711,7407,0.161,0.081,0,0,"288,947",82.8,352,101,1239,102
Goteborg,78,15,51,49.1,23654,7944,0,0.752,0,0,"261,114",102.8,381,44,1452,19
Kalmar,78,17,51,21,12760,9533,0,0,0,0,"245,105",74.1,237,323,562,1043
Halland,78,19,51,23.7,24338,9790,0,0,0.175,0,"135,299",77.8,208,107,433,114
Kronob,78,20,51,18,12059,8475,0,0,0,0,"169,736",49.3,184,224,339,502
Kristian,78,21,51,36.5,28185,14661,0,0,0,0,"230,619",68.1,103,170,106,289
Blek,78,22,51,45,22211,12125,0,0,0,0,"137,477",56,120,263,144,692
Malmo,78,23,51,69.2,61957,17595,0,0,0,0,"349,310",106.9,58,136,34,185
Norrb,79,1,52,0.9,284,367,0.038,0.047,0.236,0.189,"90,761",3,1439,513,20707,2632
Vasterb,79,2,52,1.8,587,956,0.051,0.118,0.101,0.067,"106,435",8.8,1179,415,13900,1722
Jamt,79,3,52,1.5,384,1987,0.166,0.222,0.222,0.24,"83,623",4.3,976,222,9526,493
Vastern,79,4,52,7.3,1798,3501,0.389,0.606,0,0.043,"169,195",18.1,962,387,9254,1498
Gavle,79,5,52,9,2725,3591,0.456,0.354,0,0,"178,728",17.1,756,336,5715,1129
Koppar,79,6,52,6.3,3358,3821,0.099,0.23,0,0.033,"190,133",15.6,696,221,4844,488
Varm,79,7,52,13.8,8557,4232,1.238,0.619,0,0,"268,417",64.9,564,140,3181,196
Upps,79,8,52,15.4,13713,5603,0,0.555,0,0,"111,019",81.6,588,422,3457,1781
Vastml,79,9,52,19.4,16232,4587,0,0,0,0,"128,491",56.2,557,337,3102,1136
Stock,79,10,52,46.5,15146,5998,0,0,0,0,"315,796",81.9,519,453,2694,2052
Orebro,79,11,52,19.5,12258,4020,0,0,0,0,"182,263",33.4,499,254,2490,645
Soderml,79,12,52,22.3,16858,7752,0,0,0,0,"147,186",122.8,463,361,2144,1303
Skara,79,13,52,31.4,37376,8224,0,0,0,0,"257,942",109.4,382,170,1459,289
Alvsb,79,14,52,23.3,20068,7504,0.161,0.161,0,0,"288,947",106.4,352,101,1239,102
Goteborg,79,15,52,49.1,23617,7769,0.752,0,0,0,"261,114",100.4,381,44,1452,19
Kalmar,79,17,52,21,12767,9406,0,0,0,0,"245,105",88.2,237,323,562,1043
Halland,79,19,52,23.7,24409,10100,0,0,0,0.175,"135,299",65.2,208,107,433,114
Kronob,79,20,52,18,11638,8308,0,0,0,0,"169,736",43.7,184,224,339,502
Kristian,79,21,52,36.5,28942,12352,0,0,0,0,"230,619",83.3,103,170,106,289
Blek,79,22,52,45,23619,12155,0,0,0,0,"137,477",88.4,120,263,144,692
Malmo,79,23,52,69.2,62828,17072,0,0,0,0,"349,310",106.7,58,136,34,185
Norrb,80,1,53,0.9,291,304,0,0.038,0.151,0.236,"90,761",3.5,1439,513,20707,2632
Vasterb,80,2,53,1.8,573,847,0.034,0.051,0.084,0.101,"106,435",9.6,1179,415,13900,1722
Jamt,80,3,53,1.5,389,1947,0.055,0.166,0.277,0.222,"83,623",7.7,976,222,9526,493
Vastern,80,4,53,7.3,1830,3300,0.173,0.389,0,0,"169,195",26.3,962,387,9254,1498
Gavle,80,5,53,9,2641,3544,0.304,0.456,0,0,"178,728",18.9,756,336,5715,1129
Koppar,80,6,53,6.3,3348,3740,0.033,0.099,0,0,"190,133",15.4,696,221,4844,488
Varm,80,7,53,13.8,8586,4223,0.361,1.238,0,0,"268,417",48.7,564,140,3181,196
Upps,80,8,53,15.4,14173,5451,0,0,0,0,"111,019",89.5,588,422,3457,1781
Vastml,80,9,53,19.4,16666,4180,0.151,0,0,0,"128,491",82.6,557,337,3102,1136
Stock,80,10,53,46.5,15128,5867,0,0,0,0,"315,796",118.9,519,453,2694,2052
Orebro,80,11,53,19.5,12446,3784,0.107,0,0,0,"182,263",67,499,254,2490,645
Soderml,80,12,53,22.3,16854,7752,0,0,0,0,"147,186",150.2,463,361,2144,1303
Skara,80,13,53,31.4,39620,8234,0,0,0,0,"257,942",59.7,382,170,1459,289
Alvsb,80,14,53,23.3,20399,7269,0,0.161,0,0,"288,947",61.8,352,101,1239,102
Goteborg,80,15,53,49.1,23292,7051,0.376,0.752,0,0,"261,114",110.7,381,44,1452,19
Ostergl,80,16,53,22.9,18445,6132,0,0,0,0,"267,133",106.7,375,302,1406,912
Kalmar,80,17,53,21,12749,9262,0,0,0,0,"245,105",85.9,237,323,562,1043
Jonk,80,18,53,18.3,14491,9580,0,0,0,0,"196,271",45.4,269,217,724,471
Halland,80,19,53,23.7,25630,9894,0,0,0,0,"135,299",77.5,208,107,433,114
Kronob,80,20,53,18,11562,7952,0,0,0,0,"169,736",66.2,184,224,339,502
Kristian,80,21,53,36.5,29108,12544,0,0,0,0,"230,619",100.5,103,170,106,289
Blek,80,22,53,45,23225,11505,0,0,0,0,"137,477",83.1,120,263,144,692
Malmo,80,23,53,69.2,63584,16316,0,0,0,0,"349,310",157.8,58,136,34,185
Norrb,81,1,54,0.9,300,276,0,0,0.311,0.151,"90,761",3.6,1439,513,20707,2632
Vasterb,81,2,54,1.8,599,702,0.017,0.034,0.067,0.084,"106,435",6.6,1179,415,13900,1722
Jamt,81,3,54,1.5,397,1903,0.111,0.055,0.092,0.277,"83,623",9.5,976,222,9526,493
Vastern,81,4,54,7.3,1826,2831,0.043,0.173,0,0,"169,195",28,962,387,9254,1498
Gavle,81,5,54,9,2708,3436,0.152,0.304,0,0,"178,728",29.7,756,336,5715,1129
Koppar,81,6,54,6.3,3373,3519,0.197,0.033,0,0,"190,133",15.4,696,221,4844,488
Varm,81,7,54,13.8,8653,4361,0.258,0.361,0,0,"268,417",50.1,564,140,3181,196
Upps,81,8,54,15.4,14370,4470,0,0,0,0,"111,019",85.1,588,422,3457,1781
Vastml,81,9,54,19.4,16969,4015,0.151,0.151,0,0,"128,491",64.3,557,337,3102,1136
Stock,81,10,54,46.5,15533,5643,0,0,0,0,"315,796",65.3,519,453,2694,2052
Orebro,81,11,54,19.5,12544,3549,0.214,0.107,0,0,"182,263",43.5,499,254,2490,645
Soderml,81,12,54,22.3,17430,7178,0,0,0,0,"147,186",123.5,463,361,2144,1303
Skara,81,13,54,31.4,39837,7919,0,0,0,0,"257,942",84.2,382,170,1459,289
Alvsb,81,14,54,23.3,20500,6693,0,0,0,0,"288,947",69.7,352,101,1239,102
Goteborg,81,15,54,49.1,23341,6833,0,0.376,0,0,"261,114",107.1,381,44,1452,19
Ostergl,81,16,54,22.9,18078,5515,0,0,0,0,"267,133",98.8,375,302,1406,912
Kalmar,81,17,54,21,13302,9023,0,0,0,0,"245,105",69.7,237,323,562,1043
Jonk,81,18,54,18.3,14729,9515,0,0,0,0,"196,271",40.2,269,217,724,471
Halland,81,19,54,23.7,26256,9025,0,0,0,0,"135,299",47,208,107,433,114
Kronob,81,20,54,18,11415,7829,0,0,0,0,"169,736",27.1,184,224,339,502
Kristian,81,21,54,36.5,29194,12366,0,0,0,0,"230,619",97.7,103,170,106,289
Blek,81,22,54,45,23225,10359,0,0,0,0,"137,477",56.6,120,263,144,692
Malmo,81,23,54,69.2,65158,15061,0,0,0,0,"349,310",77.2,58,136,34,185
Norrb,82,1,55,0.9,299,289,0.009,0,0.321,0.311,"90,761",3.5,1439,513,20707,2632
Vasterb,82,2,55,1.8,625,729,0,0.017,0.017,0.067,"106,435",4.2,1179,415,13900,1722
Jamt,82,3,55,1.5,419,1999,0.092,0.111,0.037,0.092,"83,623",8.3,976,222,9526,493
Vastern,82,4,55,7.3,1833,2816,0.216,0.043,0,0,"169,195",26,962,387,9254,1498
Gavle,82,5,55,9,2741,3515,0,0.152,0,0,"178,728",28.5,756,336,5715,1129
Koppar,82,6,55,6.3,3408,3519,0.164,0.197,0,0,"190,133",15,696,221,4844,488
Varm,82,7,55,13.8,8623,4250,0.206,0.258,0,0,"268,417",20.3,564,140,3181,196
Upps,82,8,55,15.4,14445,4470,0,0,0,0,"111,019",65,588,422,3457,1781
Vastml,82,9,55,19.4,17471,3948,0.302,0.151,0,0,"128,491",20.1,557,337,3102,1136
Stock,82,10,55,46.5,16304,5785,0,0,0,0,"315,796",88.2,519,453,2694,2052
Orebro,82,11,55,19.5,12932,3610,0,0.214,0,0,"182,263",43.5,499,254,2490,645
Soderml,82,12,55,22.3,18000,6549,0,0,0,0,"147,186",119.1,463,361,2144,1303
Skara,82,13,55,31.4,41192,8086,0,0,0,0,"257,942",75.5,382,170,1459,289
Alvsb,82,14,55,23.3,20681,6742,0,0,0,0,"288,947",57.4,352,101,1239,102
Goteborg,82,15,55,49.1,23389,6979,0,0,0,0,"261,114",78.2,381,44,1452,19
Ostergl,82,16,55,22.9,18487,5752,0,0,0,0,"267,133",85.3,375,302,1406,912
Kalmar,82,17,55,21,13304,8854,0,0,0,0,"245,105",64.8,237,323,562,1043
Jonk,82,18,55,18.3,15163,9356,0,0,0,0,"196,271",28.4,269,217,724,471
Halland,82,19,55,23.7,26329,9213,0,0,0,0,"135,299",56.3,208,107,433,114
Kronob,82,20,55,18,11593,8127,0,0,0,0,"169,736",63.3,184,224,339,502
Kristian,82,21,55,36.5,29436,12391,0,0,0,0,"230,619",96.1,103,170,106,289
Blek,82,22,55,45,23225,10352,0,0,0,0,"137,477",52,120,263,144,692
Malmo,82,23,55,69.2,64348,15327,0,0,0,0,"349,310",104.9,58,136,34,185
Norrb,83,1,56,0.9,308,332,0,0.009,0.113,0.321,"96,241",3.6,1439,513,20707,2632
Vasterb,83,2,56,1.9,631,805,0,0,0.034,0.017,"113,541",6.8,1179,415,13900,1722
Jamt,83,3,56,1.7,429,1987,0.074,0.092,0.018,0.037,"93,091",7,976,222,9526,493
Vastern,83,4,56,8,1903,2897,0.13,0.216,0,0,"184,884",35.8,962,387,9254,1498
Gavle,83,5,56,9.7,2730,3512,0.051,0,0,0,"191,223",45.5,756,336,5715,1129
Koppar,83,6,56,6.4,3436,3536,0.099,0.164,0,0,"194,291",18,696,221,4844,488
Varm,83,7,56,13.4,8604,4227,0.464,0.206,0,0,"259,958",29.6,564,140,3181,196
Upps,83,8,56,16.2,14999,4473,0,0,0,0,"116,406",79.1,588,422,3457,1781
Vastml,83,9,56,20,17791,3832,0,0.302,0,0,"132,056",67.9,557,337,3102,1136
Stock,83,10,56,53.7,17024,5836,0,0,0,0,"364,529",99.4,519,453,2694,2052
Orebro,83,11,56,19.5,13161,3559,0,0,0,0,"182,513",47,499,254,2490,645
Soderml,83,12,56,22.7,18384,6419,0,0,0,0,"150,032",144.4,463,361,2144,1303
Skara,83,13,56,30.8,41493,7796,0,0,0,0,"253,467",107.9,382,170,1459,289
Alvsb,83,14,56,22.8,20775,6555,0.242,0,0,0,"282,335",81.8,352,101,1239,102
Goteborg,83,15,56,52.8,25338,6490,0,0,0,0,"281,001",89.8,381,44,1452,19
Ostergl,83,16,56,23,18993,5703,0,0,0,0,"267,842",120,375,302,1406,912
Kalmar,83,17,56,20.6,13328,8963,0,0,0,0,"240,507",159.7,237,323,562,1043
Jonk,83,18,56,18.4,15226,9293,0,0,0,0,"197,392",51,269,217,724,471
Halland,83,19,56,23.9,27098,9116,0,0,0,0,"136,973",92.5,208,107,433,114
Kronob,83,20,56,17.7,11691,8142,0,0,0,0,"166,881",69.8,184,224,339,502
Kristian,83,21,56,35.9,29505,12464,0.317,0,0,0,"226,787",99.6,103,170,106,289
Blek,83,22,56,45.8,23225,10148,0,0,0,0,"140,071",93.6,120,263,144,692
Malmo,83,23,56,70.9,64635,14847,0,0,0,0,"358,178",115,58,136,34,185
Norrb,84,1,57,0.9,323,337,0,0,0.358,0.113,"96,241",5.9,1439,513,20707,2632
Vasterb,84,2,57,1.9,652,822,0,0,0.169,0.034,"113,541",10.8,1179,415,13900,1722
Jamt,84,3,57,1.7,404,1952,0.074,0.074,0.018,0.018,"93,091",10.2,976,222,9526,493
Vastern,84,4,57,8,1944,3411,0,0.13,0,0,"184,884",31.9,962,387,9254,1498
Gavle,84,5,57,9.7,2826,3685,0,0.051,0,0,"191,223",48.5,756,336,5715,1129
Koppar,84,6,57,6.4,3456,3507,0.23,0.099,0,0,"194,291",22.3,696,221,4844,488
Varm,84,7,57,13.4,8546,4168,0.155,0.464,0,0,"259,958",35.5,564,140,3181,196
Upps,84,8,57,16.2,15419,4474,0,0,0,0,"116,406",93.1,588,422,3457,1781
Vastml,84,9,57,20,17791,3832,0,0,0,0,"132,056",104.5,557,337,3102,1136
Stock,84,10,57,53.7,17424,5871,0,0,0,0,"364,529",141.3,519,453,2694,2052
Orebro,84,11,57,19.5,13440,3487,0,0,0,0,"182,513",63.7,499,254,2490,645
Soderml,84,12,57,22.7,18852,6886,0,0,0,0,"150,032",149.7,463,361,2144,1303
Skara,84,13,57,30.8,42165,7735,0,0,0,0,"253,467",107.9,382,170,1459,289
Alvsb,84,14,57,22.8,21002,6289,0.081,0.242,0,0,"282,335",91.9,352,101,1239,102
Goteborg,84,15,57,52.8,23423,6637,0,0,0,0,"281,001",94.7,381,44,1452,19
Ostergl,84,16,57,23,18637,5588,0,0,0,0,"267,842",136.5,375,302,1406,912
Kalmar,84,17,57,20.6,14252,8864,0,0,0,0,"240,507",102.2,237,323,562,1043
Jonk,84,18,57,18.4,15316,9301,0,0,0,0,"197,392",77.2,269,217,724,471
Halland,84,19,57,23.9,27328,8928,0,0,0,0,"136,973",90.7,208,107,433,114
Kronob,84,20,57,17.7,12083,8096,0,0,0,0,"166,881",87.8,184,224,339,502
Kristian,84,21,57,35.9,31561,11061,1.583,0.317,0,0,"226,787",118.4,103,170,106,289
Blek,84,22,57,45.8,23225,10350,0,0,0,0,"140,071",101.5,120,263,144,692
Malmo,84,23,57,70.9,65613,14250,0,0,0,0,"358,178",119.2,58,136,34,185
Norrb,85,1,58,0.9,321,339,0,0,0.179,0.358,"96,241",5.1,1439,513,20707,2632
Vasterb,85,2,58,1.9,548,949,0.034,0,0.017,0.169,"113,541",8.8,1179,415,13900,1722
Jamt,85,3,58,1.7,416,1831,0.148,0.074,0.148,0.018,"93,091",15.7,976,222,9526,493
Vastern,85,4,58,8,1937,3408,0,0,0,0,"184,884",31.6,962,387,9254,1498
Gavle,85,5,58,9.7,2985,3729,0,0,0,0,"191,223",88.2,756,336,5715,1129
Koppar,85,6,58,6.4,3515,3461,0.395,0.23,0,0,"194,291",26.4,696,221,4844,488
Varm,85,7,58,13.4,8546,4168,0.155,0.155,0,0,"259,958",30.7,564,140,3181,196
Upps,85,8,58,16.2,15718,5380,0.139,0,0,0,"116,406",65.6,588,422,3457,1781
Vastml,85,9,58,20,17791,3832,0.302,0,0,0,"132,056",88.2,557,337,3102,1136
Stock,85,10,58,53.7,17934,6109,0,0,0,0,"364,529",127.6,519,453,2694,2052
Orebro,85,11,58,19.5,13534,3652,0,0,0,0,"182,513",64,499,254,2490,645
Soderml,85,12,58,22.7,19276,6105,0,0,0,0,"150,032",140.2,463,361,2144,1303
Skara,85,13,58,30.8,43441,9131,0,0,0,0,"253,467",34.2,382,170,1459,289
Alvsb,85,14,58,22.8,20992,6168,0.161,0.081,0,0,"282,335",108.4,352,101,1239,102
Goteborg,85,15,58,52.8,23664,6552,0,0,0,0,"281,001",75.4,381,44,1452,19
Ostergl,85,16,58,23,18998,6005,0.086,0,0,0,"267,842",73.1,375,302,1406,912
Kalmar,85,17,58,20.6,13821,9041,0,0,0,0,"240,507",104.3,237,323,562,1043
Jonk,85,18,58,18.4,15535,9227,0,0,0,0,"197,392",97.6,269,217,724,471
Halland,85,19,58,23.9,26178,9626,0,0,0,0,"136,973",82.9,208,107,433,114
Kronob,85,20,58,17.7,12556,8236,0,0,0,0,"166,881",88.6,184,224,339,502
Kristian,85,21,58,35.9,31880,11718,0,1.583,0,0,"226,787",109.4,103,170,106,289
Blek,85,22,58,45.8,22276,10375,0,0,0,0,"140,071",79.2,120,263,144,692
Malmo,85,23,58,70.9,64128,17414,0,0,0,0,"358,178",133.6,58,136,34,185
Norrb,86,1,59,0.9,338,417,0,0,0.198,0.179,"96,241",3.6,1439,513,20707,2632
Vasterb,86,2,59,1.9,539,982,0,0.034,0,0.017,"113,541",9.2,1179,415,13900,1722
Jamt,86,3,59,1.7,415,1784,0.074,0.148,0.018,0.148,"93,091",10,976,222,9526,493
Vastern,86,4,59,8,2026,3605,0,0,0,0,"184,884",24.9,962,387,9254,1498
Gavle,86,5,59,9.7,2990,3843,0,0,0,0,"191,223",35.1,756,336,5715,1129
Koppar,86,6,59,6.4,3314,3273,0.099,0.395,0,0,"194,291",17.4,696,221,4844,488
Varm,86,7,59,13.4,8546,4036,0.155,0.155,0,0,"259,958",29.6,564,140,3181,196
Upps,86,8,59,16.2,15975,4562,0.139,0.139,0,0,"116,406",74.1,588,422,3457,1781
Vastml,86,9,59,20,17863,3832,0.302,0.302,0,0,"132,056",90.3,557,337,3102,1136
Stock,86,10,59,53.7,18466,6257,0,0,0,0,"364,529",109.3,519,453,2694,2052
